1
100 10000 9918
9 10 164 837
9 10 165 836
9 10 166 835
9 10 167 834
9 10 168 833
9 10 169 832
9 10 170 831
9 10 171 830
9 10 172 829
9 10 173 828
9 10 174 827
9 10 175 826
9 10 176 825
9 10 177 824
9 10 178 823
9 10 179 822
9 10 180 821
9 10 181 820
9 10 182 819
9 10 183 818
9 10 184 817
9 10 185 816
9 10 186 815
9 10 187 814
9 10 188 813
9 10 189 812
9 10 190 811
9 10 191 810
9 10 192 809
9 10 193 808
9 10 194 807
9 10 195 806
9 10 196 805
9 10 197 804
9 10 198 803
9 10 199 802
9 10 200 801
9 10 201 800
9 10 202 799
9 10 203 798
9 10 204 797
9 10 205 796
9 10 206 795
9 10 207 794
9 10 208 793
9 10 209 792
9 10 210 791
9 10 211 790
9 10 212 789
9 10 213 788
9 10 214 787
9 10 215 786
9 10 216 785
9 10 217 784
9 10 218 783
9 10 219 782
9 10 220 781
9 10 221 780
9 10 222 779
9 10 223 778
9 10 224 777
9 10 225 776
9 10 226 775
9 10 227 774
9 10 228 773
9 10 229 772
9 10 230 771
9 10 231 770
9 10 232 769
9 10 233 768
9 10 234 767
9 10 235 766
9 10 236 765
9 10 237 764
9 10 238 763
9 10 239 762
9 10 240 761
9 10 241 760
9 10 242 759
9 10 243 758
9 10 244 757
9 10 245 756
9 10 246 755
9 10 247 754
9 10 248 753
9 10 249 752
9 10 250 751
9 10 251 750
9 10 252 749
9 10 253 748
9 10 254 747
9 10 255 746
9 10 256 745
9 10 257 744
9 10 258 743
9 10 259 742
9 10 260 741
9 10 261 740
9 10 262 739
9 10 263 738
9 10 264 737
9 10 265 736
9 10 266 735
9 10 267 734
9 10 268 733
9 10 269 732
9 10 270 731
9 10 271 730
9 10 272 729
9 10 273 728
9 10 274 727
9 10 275 726
9 10 276 725
9 10 277 724
9 10 278 723
9 10 279 722
9 10 280 721
9 10 281 720
9 10 282 719
9 10 283 718
9 10 284 717
9 10 285 716
9 10 286 715
9 10 287 714
9 10 288 713
9 10 289 712
9 10 290 711
9 10 291 710
9 10 292 709
9 10 293 708
9 10 294 707
9 10 295 706
9 10 296 705
9 10 297 704
9 10 298 703
9 10 299 702
9 10 300 701
9 10 301 700
9 10 302 699
9 10 303 698
9 10 304 697
9 10 305 696
9 10 306 695
9 10 307 694
9 10 308 693
9 10 309 692
9 10 310 691
9 10 311 690
9 10 312 689
9 10 313 688
9 10 314 687
9 10 315 686
9 10 316 685
9 10 317 684
9 10 318 683
9 10 319 682
9 10 320 681
9 10 321 680
9 10 322 679
9 10 323 678
9 10 324 677
9 10 325 676
9 10 326 675
9 10 327 674
9 10 328 673
9 10 329 672
9 10 330 671
9 10 331 670
9 10 332 669
9 10 333 668
9 10 334 667
9 10 335 666
9 10 336 665
9 10 337 664
9 10 338 663
9 10 339 662
9 10 340 661
9 10 341 660
9 10 342 659
9 10 343 658
9 10 344 657
9 10 345 656
9 10 346 655
9 10 347 654
9 10 348 653
9 10 349 652
9 10 350 651
9 10 351 650
9 10 352 649
9 10 353 648
9 10 354 647
9 10 355 646
9 10 356 645
9 10 357 644
9 10 358 643
9 10 359 642
9 10 360 641
9 10 361 640
9 10 362 639
9 10 363 638
9 10 364 637
9 10 365 636
9 10 366 635
9 10 367 634
9 10 368 633
9 10 369 632
9 10 370 631
9 10 371 630
9 10 372 629
9 10 373 628
9 10 374 627
9 10 375 626
9 10 376 625
9 10 377 624
9 10 378 623
9 10 379 622
9 10 380 621
9 10 381 620
9 10 382 619
9 10 383 618
9 10 384 617
9 10 385 616
9 10 386 615
9 10 387 614
9 10 388 613
9 10 389 612
9 10 390 611
9 10 391 610
9 10 392 609
9 10 393 608
9 10 394 607
9 10 395 606
9 10 396 605
9 10 397 604
9 10 398 603
9 10 399 602
9 10 400 601
9 10 401 600
9 10 402 599
9 10 403 598
9 10 404 597
9 10 405 596
9 10 406 595
9 10 407 594
9 10 408 593
9 10 409 592
9 10 410 591
9 10 411 590
9 10 412 589
9 10 413 588
9 10 414 587
9 10 415 586
9 10 416 585
9 10 417 584
9 10 418 583
9 10 419 582
9 10 420 581
9 10 421 580
9 10 422 579
9 10 423 578
9 10 424 577
9 10 425 576
9 10 426 575
9 10 427 574
9 10 428 573
9 10 429 572
9 10 430 571
9 10 431 570
9 10 432 569
9 10 433 568
9 10 434 567
9 10 435 566
9 10 436 565
9 10 437 564
9 10 438 563
9 10 439 562
9 10 440 561
9 10 441 560
9 10 442 559
9 10 443 558
9 10 444 557
9 10 445 556
9 10 446 555
9 10 447 554
9 10 448 553
9 10 449 552
9 10 450 551
9 10 451 550
9 10 452 549
9 10 453 548
9 10 454 547
9 10 455 546
9 10 456 545
9 10 457 544
9 10 458 543
9 10 459 542
9 10 460 541
9 10 461 540
9 10 462 539
9 10 463 538
9 10 464 537
9 10 465 536
9 10 466 535
9 10 467 534
9 10 468 533
9 10 469 532
9 10 470 531
9 10 471 530
9 10 472 529
9 10 473 528
9 10 474 527
9 10 475 526
9 10 476 525
9 10 477 524
9 10 478 523
9 10 479 522
9 10 480 521
9 10 481 520
9 10 482 519
9 10 483 518
9 10 484 517
9 10 485 516
9 10 486 515
9 10 487 514
9 10 488 513
9 10 489 512
9 10 490 511
9 10 491 510
9 10 492 509
9 10 493 508
9 10 494 507
9 10 495 506
9 10 496 505
9 10 497 504
9 10 498 503
9 10 499 502
9 10 500 501
9 10 501 500
9 10 502 499
9 10 503 498
9 10 504 497
9 10 505 496
9 10 506 495
9 10 507 494
9 10 508 493
9 10 509 492
9 10 510 491
9 10 511 490
9 10 512 489
9 10 513 488
9 10 514 487
9 10 515 486
9 10 516 485
9 10 517 484
9 10 518 483
9 10 519 482
9 10 520 481
9 10 521 480
9 10 522 479
9 10 523 478
9 10 524 477
9 10 525 476
9 10 526 475
9 10 527 474
9 10 528 473
9 10 529 472
9 10 530 471
9 10 531 470
9 10 532 469
9 10 533 468
9 10 534 467
9 10 535 466
9 10 536 465
9 10 537 464
9 10 538 463
9 10 539 462
9 10 540 461
9 10 541 460
9 10 542 459
9 10 543 458
9 10 544 457
9 10 545 456
9 10 546 455
9 10 547 454
9 10 548 453
9 10 549 452
9 10 550 451
9 10 551 450
9 10 552 449
9 10 553 448
9 10 554 447
9 10 555 446
9 10 556 445
9 10 557 444
9 10 558 443
9 10 559 442
9 10 560 441
9 10 561 440
9 10 562 439
9 10 563 438
9 10 564 437
9 10 565 436
9 10 566 435
9 10 567 434
9 10 568 433
9 10 569 432
9 10 570 431
9 10 571 430
9 10 572 429
9 10 573 428
9 10 574 427
9 10 575 426
9 10 576 425
9 10 577 424
9 10 578 423
9 10 579 422
9 10 580 421
9 10 581 420
9 10 582 419
9 10 583 418
9 10 584 417
9 10 585 416
9 10 586 415
9 10 587 414
9 10 588 413
9 10 589 412
9 10 590 411
9 10 591 410
9 10 592 409
9 10 593 408
9 10 594 407
9 10 595 406
9 10 596 405
9 10 597 404
9 10 598 403
9 10 599 402
9 10 600 401
9 10 601 400
9 10 602 399
9 10 603 398
9 10 604 397
9 10 605 396
9 10 606 395
9 10 607 394
9 10 608 393
9 10 609 392
9 10 610 391
9 10 611 390
9 10 612 389
9 10 613 388
9 10 614 387
9 10 615 386
9 10 616 385
9 10 617 384
9 10 618 383
9 10 619 382
9 10 620 381
9 10 621 380
9 10 622 379
9 10 623 378
9 10 624 377
9 10 625 376
9 10 626 375
9 10 627 374
9 10 628 373
9 10 629 372
9 10 630 371
9 10 631 370
9 10 632 369
9 10 633 368
9 10 634 367
9 10 635 366
9 10 636 365
9 10 637 364
9 10 638 363
9 10 639 362
9 10 640 361
9 10 641 360
9 10 642 359
9 10 643 358
9 10 644 357
9 10 645 356
9 10 646 355
9 10 647 354
9 10 648 353
9 10 649 352
9 10 650 351
9 10 651 350
9 10 652 349
9 10 653 348
9 10 654 347
9 10 655 346
9 10 656 345
9 10 657 344
9 10 658 343
9 10 659 342
9 10 660 341
9 10 661 340
9 10 662 339
9 10 663 338
9 10 664 337
9 10 665 336
9 10 666 335
9 10 667 334
9 10 668 333
9 10 669 332
9 10 670 331
9 10 671 330
9 10 672 329
9 10 673 328
9 10 674 327
9 10 675 326
9 10 676 325
9 10 677 324
9 10 678 323
9 10 679 322
9 10 680 321
9 10 681 320
9 10 682 319
9 10 683 318
9 10 684 317
9 10 685 316
9 10 686 315
9 10 687 314
9 10 688 313
9 10 689 312
9 10 690 311
9 10 691 310
9 10 692 309
9 10 693 308
9 10 694 307
9 10 695 306
9 10 696 305
9 10 697 304
9 10 698 303
9 10 699 302
9 10 700 301
9 10 701 300
9 10 702 299
9 10 703 298
9 10 704 297
9 10 705 296
9 10 706 295
9 10 707 294
9 10 708 293
9 10 709 292
9 10 710 291
9 10 711 290
9 10 712 289
9 10 713 288
9 10 714 287
9 10 715 286
9 10 716 285
9 10 717 284
9 10 718 283
9 10 719 282
9 10 720 281
9 10 721 280
9 10 722 279
9 10 723 278
9 10 724 277
9 10 725 276
9 10 726 275
9 10 727 274
9 10 728 273
9 10 729 272
9 10 730 271
9 10 731 270
9 10 732 269
9 10 733 268
9 10 734 267
9 10 735 266
9 10 736 265
9 10 737 264
9 10 738 263
9 10 739 262
9 10 740 261
9 10 741 260
9 10 742 259
9 10 743 258
9 10 744 257
9 10 745 256
9 10 746 255
9 10 747 254
9 10 748 253
9 10 749 252
9 10 750 251
9 10 751 250
9 10 752 249
9 10 753 248
9 10 754 247
9 10 755 246
9 10 756 245
9 10 757 244
9 10 758 243
9 10 759 242
9 10 760 241
9 10 761 240
9 10 762 239
9 10 763 238
9 10 764 237
9 10 765 236
9 10 766 235
9 10 767 234
9 10 768 233
9 10 769 232
9 10 770 231
9 10 771 230
9 10 772 229
9 10 773 228
9 10 774 227
9 10 775 226
9 10 776 225
9 10 777 224
9 10 778 223
9 10 779 222
9 10 780 221
9 10 781 220
9 10 782 219
9 10 783 218
9 10 784 217
9 10 785 216
9 10 786 215
9 10 787 214
9 10 788 213
9 10 789 212
9 10 790 211
9 10 791 210
9 10 792 209
9 10 793 208
9 10 794 207
9 10 795 206
9 10 796 205
9 10 797 204
9 10 798 203
9 10 799 202
9 10 800 201
9 10 801 200
9 10 802 199
9 10 803 198
9 10 804 197
9 10 805 196
9 10 806 195
9 10 807 194
9 10 808 193
9 10 809 192
9 10 810 191
9 10 811 190
9 10 812 189
9 10 813 188
9 10 814 187
9 10 815 186
9 10 816 185
9 10 817 184
9 10 818 183
9 10 819 182
9 10 820 181
9 10 821 180
9 10 822 179
9 10 823 178
9 10 824 177
9 10 825 176
9 10 826 175
9 10 827 174
9 10 828 173
9 10 829 172
9 10 830 171
9 10 831 170
9 10 832 169
9 10 833 168
9 10 834 167
9 10 835 166
9 10 836 165
9 10 837 164
9 10 838 163
9 10 839 162
9 10 840 161
9 10 841 160
9 10 842 159
9 10 843 158
9 10 844 157
9 10 845 156
9 10 846 155
9 10 847 154
9 10 848 153
9 10 849 152
9 10 850 151
9 10 851 150
9 10 852 149
9 10 853 148
9 10 854 147
9 10 855 146
9 10 856 145
9 10 857 144
9 10 858 143
9 10 859 142
9 10 860 141
9 10 861 140
9 10 862 139
9 10 863 138
9 10 864 137
9 10 865 136
9 10 866 135
9 10 867 134
9 10 868 133
9 10 869 132
9 10 870 131
9 10 871 130
9 10 872 129
9 10 873 128
9 10 874 127
9 10 875 126
9 10 876 125
9 10 877 124
9 10 878 123
9 10 879 122
9 10 880 121
9 10 881 120
9 10 882 119
9 10 883 118
9 10 884 117
9 10 885 116
9 10 886 115
9 10 887 114
9 10 888 113
9 10 889 112
9 10 890 111
9 10 891 110
9 10 892 109
9 10 893 108
9 10 894 107
9 10 895 106
9 10 896 105
9 10 897 104
9 10 898 103
9 10 899 102
9 10 900 101
9 10 901 100
9 10 902 99
9 10 903 98
9 10 904 97
9 10 905 96
9 10 906 95
9 10 907 94
9 10 908 93
9 10 909 92
9 10 910 91
9 10 911 90
9 10 912 89
9 10 913 88
9 10 914 87
9 10 915 86
9 10 916 85
9 10 917 84
9 10 918 83
9 10 919 82
9 10 920 81
9 10 921 80
9 10 922 79
9 10 923 78
9 10 924 77
9 10 925 76
9 10 926 75
9 10 927 74
9 10 928 73
9 10 929 72
9 10 930 71
9 10 931 70
9 10 932 69
9 10 933 68
9 10 934 67
9 10 935 66
9 10 936 65
9 10 937 64
9 10 938 63
9 10 939 62
9 10 940 61
9 10 941 60
9 10 942 59
9 10 943 58
9 10 944 57
9 10 945 56
9 10 946 55
9 10 947 54
9 10 948 53
9 10 949 52
9 10 950 51
9 10 951 50
9 10 952 49
9 10 953 48
9 10 954 47
9 10 955 46
9 10 956 45
9 10 957 44
9 10 958 43
9 10 959 42
9 10 960 41
9 10 961 40
9 10 962 39
9 10 963 38
9 10 964 37
9 10 965 36
9 10 966 35
9 10 967 34
9 10 968 33
9 10 969 32
9 10 970 31
9 10 971 30
9 10 972 29
9 10 973 28
9 10 974 27
9 10 975 26
9 10 976 25
9 10 977 24
9 10 978 23
9 10 979 22
9 10 980 21
9 10 981 20
9 10 982 19
9 10 983 18
9 10 984 17
9 10 985 16
9 10 986 15
9 10 987 14
9 10 988 13
9 10 989 12
9 10 990 11
9 10 991 10
9 10 992 9
9 10 993 8
9 10 994 7
9 10 995 6
9 10 996 5
9 10 997 4
9 10 998 3
9 10 999 2
9 10 1000 1
10 1 1 1
10 11 1 100
10 11 1 99
10 11 1 98
10 11 1 97
10 11 1 96
10 11 1 95
10 11 1 94
10 11 1 93
10 11 1 92
10 11 1 91
10 11 1 90
10 11 1 89
10 11 1 88
10 11 1 87
10 11 1 86
10 11 1 85
10 11 1 84
10 11 1 83
10 11 1 82
10 11 1 81
10 11 1 80
10 11 1 79
10 11 1 78
10 11 1 77
10 11 1 76
10 11 1 75
10 11 1 74
10 11 1 73
10 11 1 72
10 11 1 71
10 11 1 70
10 11 1 69
10 11 1 68
10 11 1 67
10 11 1 66
10 11 1 65
10 11 1 64
10 11 1 63
10 11 1 62
10 11 1 61
10 11 1 60
10 11 1 59
10 11 1 58
10 11 1 57
10 11 1 56
10 11 1 55
10 11 1 54
10 11 1 53
10 11 1 52
10 11 1 51
10 11 1 50
10 11 1 49
10 11 1 48
10 11 1 47
10 11 1 46
10 11 1 45
10 11 1 44
10 11 1 43
10 11 1 42
10 11 1 41
10 11 1 40
10 11 1 39
10 11 1 38
10 11 1 37
10 11 1 36
10 11 1 35
10 11 1 34
10 11 1 33
10 11 1 32
10 11 1 31
10 11 1 30
10 11 1 29
10 11 1 28
10 11 1 27
10 11 1 26
10 11 1 25
10 11 1 24
10 11 1 23
10 11 1 22
10 11 1 21
10 11 1 20
10 11 1 19
10 11 1 18
10 11 1 17
10 11 1 16
10 11 1 15
10 11 1 14
10 11 1 13
10 11 1 12
10 11 1 11
10 11 1 10
10 11 1 9
10 11 1 8
10 11 1 7
10 11 1 6
10 11 1 5
10 11 1 4
10 11 1 3
10 11 1 2
10 11 1 1
11 12 1 100
11 12 1 99
11 12 1 98
11 12 1 97
11 12 1 96
11 12 1 95
11 12 1 94
11 12 1 93
11 12 1 92
11 12 1 91
11 12 1 90
11 12 1 89
11 12 1 88
11 12 1 87
11 12 1 86
11 12 1 85
11 12 1 84
11 12 1 83
11 12 1 82
11 12 1 81
11 12 1 80
11 12 1 79
11 12 1 78
11 12 1 77
11 12 1 76
11 12 1 75
11 12 1 74
11 12 1 73
11 12 1 72
11 12 1 71
11 12 1 70
11 12 1 69
11 12 1 68
11 12 1 67
11 12 1 66
11 12 1 65
11 12 1 64
11 12 1 63
11 12 1 62
11 12 1 61
11 12 1 60
11 12 1 59
11 12 1 58
11 12 1 57
11 12 1 56
11 12 1 55
11 12 1 54
11 12 1 53
11 12 1 52
11 12 1 51
11 12 1 50
11 12 1 49
11 12 1 48
11 12 1 47
11 12 1 46
11 12 1 45
11 12 1 44
11 12 1 43
11 12 1 42
11 12 1 41
11 12 1 40
11 12 1 39
11 12 1 38
11 12 1 37
11 12 1 36
11 12 1 35
11 12 1 34
11 12 1 33
11 12 1 32
11 12 1 31
11 12 1 30
11 12 1 29
11 12 1 28
11 12 1 27
11 12 1 26
11 12 1 25
11 12 1 24
11 12 1 23
11 12 1 22
11 12 1 21
11 12 1 20
11 12 1 19
11 12 1 18
11 12 1 17
11 12 1 16
11 12 1 15
11 12 1 14
11 12 1 13
11 12 1 12
11 12 1 11
11 12 1 10
11 12 1 9
11 12 1 8
11 12 1 7
11 12 1 6
11 12 1 5
11 12 1 4
11 12 1 3
11 12 1 2
11 12 1 1
12 13 1 100
12 13 1 99
12 13 1 98
12 13 1 97
12 13 1 96
12 13 1 95
12 13 1 94
12 13 1 93
12 13 1 92
12 13 1 91
12 13 1 90
12 13 1 89
12 13 1 88
12 13 1 87
12 13 1 86
12 13 1 85
12 13 1 84
12 13 1 83
12 13 1 82
12 13 1 81
12 13 1 80
12 13 1 79
12 13 1 78
12 13 1 77
12 13 1 76
12 13 1 75
12 13 1 74
12 13 1 73
12 13 1 72
12 13 1 71
12 13 1 70
12 13 1 69
12 13 1 68
12 13 1 67
12 13 1 66
12 13 1 65
12 13 1 64
12 13 1 63
12 13 1 62
12 13 1 61
12 13 1 60
12 13 1 59
12 13 1 58
12 13 1 57
12 13 1 56
12 13 1 55
12 13 1 54
12 13 1 53
12 13 1 52
12 13 1 51
12 13 1 50
12 13 1 49
12 13 1 48
12 13 1 47
12 13 1 46
12 13 1 45
12 13 1 44
12 13 1 43
12 13 1 42
12 13 1 41
12 13 1 40
12 13 1 39
12 13 1 38
12 13 1 37
12 13 1 36
12 13 1 35
12 13 1 34
12 13 1 33
12 13 1 32
12 13 1 31
12 13 1 30
12 13 1 29
12 13 1 28
12 13 1 27
12 13 1 26
12 13 1 25
12 13 1 24
12 13 1 23
12 13 1 22
12 13 1 21
12 13 1 20
12 13 1 19
12 13 1 18
12 13 1 17
12 13 1 16
12 13 1 15
12 13 1 14
12 13 1 13
12 13 1 12
12 13 1 11
12 13 1 10
12 13 1 9
12 13 1 8
12 13 1 7
12 13 1 6
12 13 1 5
12 13 1 4
12 13 1 3
12 13 1 2
12 13 1 1
13 14 1 100
13 14 1 99
13 14 1 98
13 14 1 97
13 14 1 96
13 14 1 95
13 14 1 94
13 14 1 93
13 14 1 92
13 14 1 91
13 14 1 90
13 14 1 89
13 14 1 88
13 14 1 87
13 14 1 86
13 14 1 85
13 14 1 84
13 14 1 83
13 14 1 82
13 14 1 81
13 14 1 80
13 14 1 79
13 14 1 78
13 14 1 77
13 14 1 76
13 14 1 75
13 14 1 74
13 14 1 73
13 14 1 72
13 14 1 71
13 14 1 70
13 14 1 69
13 14 1 68
13 14 1 67
13 14 1 66
13 14 1 65
13 14 1 64
13 14 1 63
13 14 1 62
13 14 1 61
13 14 1 60
13 14 1 59
13 14 1 58
13 14 1 57
13 14 1 56
13 14 1 55
13 14 1 54
13 14 1 53
13 14 1 52
13 14 1 51
13 14 1 50
13 14 1 49
13 14 1 48
13 14 1 47
13 14 1 46
13 14 1 45
13 14 1 44
13 14 1 43
13 14 1 42
13 14 1 41
13 14 1 40
13 14 1 39
13 14 1 38
13 14 1 37
13 14 1 36
13 14 1 35
13 14 1 34
13 14 1 33
13 14 1 32
13 14 1 31
13 14 1 30
13 14 1 29
13 14 1 28
13 14 1 27
13 14 1 26
13 14 1 25
13 14 1 24
13 14 1 23
13 14 1 22
13 14 1 21
13 14 1 20
13 14 1 19
13 14 1 18
13 14 1 17
13 14 1 16
13 14 1 15
13 14 1 14
13 14 1 13
13 14 1 12
13 14 1 11
13 14 1 10
13 14 1 9
13 14 1 8
13 14 1 7
13 14 1 6
13 14 1 5
13 14 1 4
13 14 1 3
13 14 1 2
13 14 1 1
14 15 1 100
14 15 1 99
14 15 1 98
14 15 1 97
14 15 1 96
14 15 1 95
14 15 1 94
14 15 1 93
14 15 1 92
14 15 1 91
14 15 1 90
14 15 1 89
14 15 1 88
14 15 1 87
14 15 1 86
14 15 1 85
14 15 1 84
14 15 1 83
14 15 1 82
14 15 1 81
14 15 1 80
14 15 1 79
14 15 1 78
14 15 1 77
14 15 1 76
14 15 1 75
14 15 1 74
14 15 1 73
14 15 1 72
14 15 1 71
14 15 1 70
14 15 1 69
14 15 1 68
14 15 1 67
14 15 1 66
14 15 1 65
14 15 1 64
14 15 1 63
14 15 1 62
14 15 1 61
14 15 1 60
14 15 1 59
14 15 1 58
14 15 1 57
14 15 1 56
14 15 1 55
14 15 1 54
14 15 1 53
14 15 1 52
14 15 1 51
14 15 1 50
14 15 1 49
14 15 1 48
14 15 1 47
14 15 1 46
14 15 1 45
14 15 1 44
14 15 1 43
14 15 1 42
14 15 1 41
14 15 1 40
14 15 1 39
14 15 1 38
14 15 1 37
14 15 1 36
14 15 1 35
14 15 1 34
14 15 1 33
14 15 1 32
14 15 1 31
14 15 1 30
14 15 1 29
14 15 1 28
14 15 1 27
14 15 1 26
14 15 1 25
14 15 1 24
14 15 1 23
14 15 1 22
14 15 1 21
14 15 1 20
14 15 1 19
14 15 1 18
14 15 1 17
14 15 1 16
14 15 1 15
14 15 1 14
14 15 1 13
14 15 1 12
14 15 1 11
14 15 1 10
14 15 1 9
14 15 1 8
14 15 1 7
14 15 1 6
14 15 1 5
14 15 1 4
14 15 1 3
14 15 1 2
14 15 1 1
15 16 1 100
15 16 1 99
15 16 1 98
15 16 1 97
15 16 1 96
15 16 1 95
15 16 1 94
15 16 1 93
15 16 1 92
15 16 1 91
15 16 1 90
15 16 1 89
15 16 1 88
15 16 1 87
15 16 1 86
15 16 1 85
15 16 1 84
15 16 1 83
15 16 1 82
15 16 1 81
15 16 1 80
15 16 1 79
15 16 1 78
15 16 1 77
15 16 1 76
15 16 1 75
15 16 1 74
15 16 1 73
15 16 1 72
15 16 1 71
15 16 1 70
15 16 1 69
15 16 1 68
15 16 1 67
15 16 1 66
15 16 1 65
15 16 1 64
15 16 1 63
15 16 1 62
15 16 1 61
15 16 1 60
15 16 1 59
15 16 1 58
15 16 1 57
15 16 1 56
15 16 1 55
15 16 1 54
15 16 1 53
15 16 1 52
15 16 1 51
15 16 1 50
15 16 1 49
15 16 1 48
15 16 1 47
15 16 1 46
15 16 1 45
15 16 1 44
15 16 1 43
15 16 1 42
15 16 1 41
15 16 1 40
15 16 1 39
15 16 1 38
15 16 1 37
15 16 1 36
15 16 1 35
15 16 1 34
15 16 1 33
15 16 1 32
15 16 1 31
15 16 1 30
15 16 1 29
15 16 1 28
15 16 1 27
15 16 1 26
15 16 1 25
15 16 1 24
15 16 1 23
15 16 1 22
15 16 1 21
15 16 1 20
15 16 1 19
15 16 1 18
15 16 1 17
15 16 1 16
15 16 1 15
15 16 1 14
15 16 1 13
15 16 1 12
15 16 1 11
15 16 1 10
15 16 1 9
15 16 1 8
15 16 1 7
15 16 1 6
15 16 1 5
15 16 1 4
15 16 1 3
15 16 1 2
15 16 1 1
16 17 1 100
16 17 1 99
16 17 1 98
16 17 1 97
16 17 1 96
16 17 1 95
16 17 1 94
16 17 1 93
16 17 1 92
16 17 1 91
16 17 1 90
16 17 1 89
16 17 1 88
16 17 1 87
16 17 1 86
16 17 1 85
16 17 1 84
16 17 1 83
16 17 1 82
16 17 1 81
16 17 1 80
16 17 1 79
16 17 1 78
16 17 1 77
16 17 1 76
16 17 1 75
16 17 1 74
16 17 1 73
16 17 1 72
16 17 1 71
16 17 1 70
16 17 1 69
16 17 1 68
16 17 1 67
16 17 1 66
16 17 1 65
16 17 1 64
16 17 1 63
16 17 1 62
16 17 1 61
16 17 1 60
16 17 1 59
16 17 1 58
16 17 1 57
16 17 1 56
16 17 1 55
16 17 1 54
16 17 1 53
16 17 1 52
16 17 1 51
16 17 1 50
16 17 1 49
16 17 1 48
16 17 1 47
16 17 1 46
16 17 1 45
16 17 1 44
16 17 1 43
16 17 1 42
16 17 1 41
16 17 1 40
16 17 1 39
16 17 1 38
16 17 1 37
16 17 1 36
16 17 1 35
16 17 1 34
16 17 1 33
16 17 1 32
16 17 1 31
16 17 1 30
16 17 1 29
16 17 1 28
16 17 1 27
16 17 1 26
16 17 1 25
16 17 1 24
16 17 1 23
16 17 1 22
16 17 1 21
16 17 1 20
16 17 1 19
16 17 1 18
16 17 1 17
16 17 1 16
16 17 1 15
16 17 1 14
16 17 1 13
16 17 1 12
16 17 1 11
16 17 1 10
16 17 1 9
16 17 1 8
16 17 1 7
16 17 1 6
16 17 1 5
16 17 1 4
16 17 1 3
16 17 1 2
16 17 1 1
17 18 1 100
17 18 1 99
17 18 1 98
17 18 1 97
17 18 1 96
17 18 1 95
17 18 1 94
17 18 1 93
17 18 1 92
17 18 1 91
17 18 1 90
17 18 1 89
17 18 1 88
17 18 1 87
17 18 1 86
17 18 1 85
17 18 1 84
17 18 1 83
17 18 1 82
17 18 1 81
17 18 1 80
17 18 1 79
17 18 1 78
17 18 1 77
17 18 1 76
17 18 1 75
17 18 1 74
17 18 1 73
